prob,loss,y_true,member,source
0.3386894,0.41353166,0.0,1,target_train
0.16421536,0.17938426,0.0,1,target_train
0.67676,0.39043853,1.0,1,target_train
0.22545797,1.4896215,1.0,1,target_train
0.11991447,0.1277362,0.0,1,target_train
0.31478986,0.37802973,0.0,1,target_train
0.9605878,0.040209893,1.0,1,target_train
0.24505165,0.2811059,0.0,1,target_train
0.73786765,0.30399078,1.0,1,target_train
0.4311189,0.5640838,0.0,1,target_train
0.20308326,0.2270051,0.0,1,target_train
0.32756463,0.39684924,0.0,1,target_train
0.5080065,0.7092898,0.0,1,target_train
0.17517541,0.19258454,0.0,1,target_train
0.46402702,0.6236716,0.0,1,target_train
0.62579733,0.9829578,0.0,1,target_train
0.3543356,1.0375108,1.0,1,target_train
0.22671783,0.25711125,0.0,1,target_train
0.25117594,1.3816017,1.0,1,target_train
0.1510405,0.1637438,0.0,1,target_train
0.19912782,0.22205389,0.0,1,target_train
0.69492024,1.1871821,0.0,1,target_train
0.5890563,0.8892991,0.0,1,target_train
0.99443656,0.0055789715,1.0,1,target_train
0.04914288,0.050391488,0.0,1,target_train
0.61665064,0.48345262,1.0,1,target_train
0.9649076,0.03572295,1.0,1,target_train
0.9864092,0.013684013,1.0,1,target_train
0.98612165,0.0139755495,1.0,1,target_train
0.22771142,0.258397,0.0,1,target_train
0.99698997,0.0030145738,1.0,1,target_train
0.934826,0.067394845,1.0,1,target_train
0.86914945,0.14024019,1.0,1,target_train
0.84535295,0.16800104,1.0,1,target_train
0.93040013,2.6649926,0.0,1,target_train
0.14494455,0.15658896,0.0,1,target_train
0.97780246,0.022447618,1.0,1,target_train
0.26924726,0.31368014,0.0,1,target_train
0.9976427,0.002360087,1.0,1,target_train
0.6033449,0.92468816,0.0,1,target_train
0.14908858,0.16144721,0.0,1,target_train
0.84150195,0.17256697,1.0,1,target_train
0.4334419,0.5681756,0.0,1,target_train
0.9714265,0.028989684,1.0,1,target_train
0.23981376,0.2741918,0.0,1,target_train
0.3421176,0.4187291,0.0,1,target_train
0.20015252,0.22333422,0.0,1,target_train
0.11839313,0.12600903,0.0,1,target_train
0.27223933,0.317783,0.0,1,target_train
0.9382124,0.06377892,1.0,1,target_train
0.6522412,1.056246,0.0,1,target_train
0.9693284,0.031151814,1.0,1,target_train
0.42623618,0.55553734,0.0,1,target_train
0.576477,0.5508199,1.0,1,target_train
0.23229189,0.26434565,0.0,1,target_train
0.8520968,1.9111972,0.0,1,target_train
0.82102823,0.19719778,1.0,1,target_train
0.17287828,0.1898034,0.0,1,target_train
0.26708943,1.3201717,1.0,1,target_train
0.25516295,0.2945898,0.0,1,target_train
0.39318708,0.4995347,0.0,1,target_train
0.32985467,0.4002607,0.0,1,target_train
0.93062776,0.071895905,1.0,1,target_train
0.17277299,1.7557768,1.0,1,target_train
0.4256594,0.5545327,0.0,1,target_train
0.56994367,0.84383905,0.0,1,target_train
0.33771074,0.4120529,0.0,1,target_train
0.98324734,0.016894573,1.0,1,target_train
0.80694014,0.21450578,1.0,1,target_train
0.9838458,0.016286133,1.0,1,target_train
0.2138252,0.24057612,0.0,1,target_train
0.9753135,0.024996337,1.0,1,target_train
0.34347117,0.42078868,0.0,1,target_train
0.152833,0.16585742,0.0,1,target_train
0.5288104,0.7524947,0.0,1,target_train
0.051993962,0.05339441,0.0,1,target_train
0.9769495,0.023320304,1.0,1,target_train
0.52065665,0.6526645,1.0,1,target_train
0.7456044,0.2935601,1.0,1,target_train
0.49224213,0.7087846,1.0,1,target_train
0.7884614,1.5533477,0.0,1,target_train
0.5345591,0.62631303,1.0,1,target_train
0.9843842,0.015739033,1.0,1,target_train
0.15225884,0.16517997,0.0,1,target_train
0.23240954,0.26449895,0.0,1,target_train
0.42186096,0.8630795,1.0,1,target_train
0.97301847,0.027352218,1.0,1,target_train
0.99725306,0.0027507194,1.0,1,target_train
0.13326882,2.015387,1.0,1,target_train
0.6053546,0.92976767,0.0,1,target_train
0.95200026,0.04918997,1.0,1,target_train
0.53963083,0.61687005,1.0,1,target_train
0.36979952,0.99479425,1.0,1,target_train
0.7152082,0.3351816,1.0,1,target_train
0.42233396,0.8619589,1.0,1,target_train
0.21737756,0.2451049,0.0,1,target_train
0.13532065,0.14539655,0.0,1,target_train
0.8956861,0.110165276,1.0,1,target_train
0.98402613,0.016102824,1.0,1,target_train
0.98691803,0.013168291,1.0,1,target_train
0.25504997,0.29443812,0.0,1,target_train
0.5928659,0.8986126,0.0,1,target_train
0.6376309,1.0150919,0.0,1,target_train
0.3042156,0.36271542,0.0,1,target_train
0.8309582,0.18517579,1.0,1,target_train
0.86435354,0.14577341,1.0,1,target_train
0.45113295,0.59989905,0.0,1,target_train
0.31202114,1.1646843,1.0,1,target_train
0.9921855,0.00784522,1.0,1,target_train
0.039643243,0.040450428,0.0,1,target_train
0.2727094,1.2993485,1.0,1,target_train
0.12473404,0.13322748,0.0,1,target_train
0.3847622,0.9551298,1.0,1,target_train
0.13721663,0.14759164,0.0,1,target_train
0.6550406,1.0643287,0.0,1,target_train
0.24337669,0.27888972,0.0,1,target_train
0.8844334,0.12280808,1.0,1,target_train
0.2629094,0.30504447,0.0,1,target_train
0.46492967,0.62535715,0.0,1,target_train
0.4241126,0.55184305,0.0,1,target_train
0.11126938,0.11796108,0.0,1,target_train
0.43252975,0.8381042,1.0,1,target_train
0.08190305,0.08545227,0.0,1,target_train
0.39306933,0.4993407,0.0,1,target_train
0.11232716,0.119152024,0.0,1,target_train
0.10707229,0.11324965,0.0,1,target_train
0.23673044,0.27014402,0.0,1,target_train
0.7377139,0.30419928,1.0,1,target_train
0.08197729,0.085533164,0.0,1,target_train
0.8115546,0.2088036,1.0,1,target_train
0.060673196,0.062591806,0.0,1,target_train
0.89873946,0.1067621,1.0,1,target_train
0.17453535,1.745628,1.0,1,target_train
0.09974582,0.10507812,0.0,1,target_train
0.90710324,2.3762665,0.0,1,target_train
0.20247291,0.22623949,0.0,1,target_train
0.49931657,0.694515,1.0,1,target_train
0.17555873,0.1930494,0.0,1,target_train
0.84277934,1.850105,0.0,1,target_train
0.9079364,0.09658095,1.0,1,target_train
0.30381104,0.3621342,0.0,1,target_train
0.07090708,0.0735465,0.0,1,target_train
0.1003993,0.105804294,0.0,1,target_train
0.99773026,0.0022723246,1.0,1,target_train
0.6214973,0.47562376,1.0,1,target_train
0.10791086,0.11418923,0.0,1,target_train
0.44355774,0.8129273,1.0,1,target_train
0.073726535,2.6073925,1.0,1,target_train
0.9927068,0.00731995,1.0,1,target_train
0.22374414,0.25327313,0.0,1,target_train
